date,rain_mm,temp_c,days_from_start,campo,anno
2026-01-01,64.29148064279389,1.9566610245477705,0,bianchi_campo_b,2026
2026-01-08,11.047686671645351,2.351761754353845,7,bianchi_campo_b,2026
2026-01-15,7.2429525883421775,5.931116358439169,14,bianchi_campo_b,2026
2026-01-22,40.72887360816324,5.13116344270253,21,bianchi_campo_b,2026
2026-01-29,29.48604558781653,5.175232369559183,28,bianchi_campo_b,2026
2026-02-05,31.12703369489012,6.649675078619112,35,bianchi_campo_b,2026
2026-02-12,21.67175710127367,6.595848973592126,42,bianchi_campo_b,2026
2026-02-19,10.166177967050771,7.355513054983987,49,bianchi_campo_b,2026
2026-02-26,9.49399173221721,9.099378749302502,56,bianchi_campo_b,2026
2026-03-05,7.78165388862817,9.055817903791194,63,bianchi_campo_b,2026
2026-03-12,14.491372395298184,8.1704831622896,70,bianchi_campo_b,2026
2026-03-19,2.0355156007667574,6.498972647530707,77,bianchi_campo_b,2026
2026-03-26,54.589674676002176,4.955960300990512,84,bianchi_campo_b,2026
2026-04-02,1.874111779386567,11.435591634114587,91,bianchi_campo_b,2026
2026-04-09,0.0789552926967473,13.92823350694448,98,bianchi_campo_b,2026
2026-04-16,19.146774827788704,14.00636285146078,0,bianchi_campo_b,2026
2026-04-23,,10.161358133951865,0,bianchi_campo_b,2026
