date,rain_mm,temp_c,days_from_start,campo,anno
2023-01-01,0.8067269541243149,8.717137273152673,0,rossi_campo_a,2023
2023-01-08,27.973133325360777,6.82971071515766,7,rossi_campo_a,2023
2023-01-15,71.8024446951695,4.800906299409462,14,rossi_campo_a,2023
2023-01-22,28.335405701625405,2.0661180405389814,21,rossi_campo_a,2023
2023-01-29,0.20095263170105682,3.6975879487537213,28,rossi_campo_a,2023
2023-02-05,0.4694052796203607,0.8413573492141495,35,rossi_campo_a,2023
2023-02-12,0.12296635190978122,5.455205445062575,42,rossi_campo_a,2023
2023-02-19,8.661810682269788,8.389634250459267,49,rossi_campo_a,2023
2023-02-26,58.644292666826914,4.506085604713121,56,rossi_campo_a,2023
2023-03-05,20.532399473154328,8.991094661894294,63,rossi_campo_a,2023
2023-03-12,14.285131012076846,8.946722466605081,70,rossi_campo_a,2023
2023-03-19,24.272889462583436,10.782308651152107,77,rossi_campo_a,2023
2023-03-26,11.70718816521088,10.290793264479873,84,rossi_campo_a,2023
2023-04-02,9.162715882876427,7.290577189127646,91,rossi_campo_a,2023
2023-04-09,18.401128943082767,9.113479141961989,98,rossi_campo_a,2023
2023-04-16,16.501547578002373,11.492999013264978,105,rossi_campo_a,2023
2023-04-23,19.670786009669428,13.635831814720518,112,rossi_campo_a,2023
2023-04-30,14.655347598285573,14.639309728713272,119,rossi_campo_a,2023
2023-05-07,51.60328189471031,14.816806502569307,126,rossi_campo_a,2023
2023-05-14,47.53353595714316,13.490686307634633,133,rossi_campo_a,2023
2023-05-21,12.246585938516574,17.7959606352307,140,rossi_campo_a,2023
2023-05-28,19.3400569169917,17.791848664056715,147,rossi_campo_a,2023
2023-06-04,28.56370721751844,18.693366713750947,154,rossi_campo_a,2023
2023-06-11,16.743319924955813,19.148848924182744,161,rossi_campo_a,2023
2023-06-18,0.7201100808060801,23.854619144258095,168,rossi_campo_a,2023
2023-06-25,36.862046427014405,22.40634689331057,175,rossi_campo_a,2023
2023-07-02,4.569013319315474,22.672816757928786,182,rossi_campo_a,2023
2023-07-09,0.7981767912923488,26.88898929414296,189,rossi_campo_a,2023
2023-07-16,1.6792062478074854,27.670006960914293,196,rossi_campo_a,2023
2023-07-23,2.8190722854759542,24.74128376188736,203,rossi_campo_a,2023
2023-07-30,30.55369828880572,23.05338040306458,210,rossi_campo_a,2023
2023-08-06,0.9059095519141636,22.04034839811783,217,rossi_campo_a,2023
2023-08-13,0.8317530154613451,26.13066117422926,224,rossi_campo_a,2023
2023-08-20,0.005174347165848303,27.519074830554814,231,rossi_campo_a,2023
2023-08-27,17.380025543673128,21.109815488542836,238,rossi_campo_a,2023
2023-09-03,0.015732645749721996,21.553692572457464,245,rossi_campo_a,2023
2023-09-10,13.529083131366804,22.00401113600958,252,rossi_campo_a,2023
2023-09-17,32.818475365406385,20.747120339529886,259,rossi_campo_a,2023
2023-09-24,3.038968516552387,17.678850609915628,266,rossi_campo_a,2023
2023-10-01,0.07824868852779332,20.07839764186315,273,rossi_campo_a,2023
2023-10-08,0.16795496065924453,19.132753626505576,280,rossi_campo_a,2023
2023-10-15,35.54270762075262,16.41745774405348,287,rossi_campo_a,2023
2023-10-22,57.83791943391492,15.90496379307342,294,rossi_campo_a,2023
2023-10-29,114.21950351410715,13.857053284418043,301,rossi_campo_a,2023
2023-11-05,59.50757931816497,11.338904771350713,308,rossi_campo_a,2023
2023-11-12,8.232482835996535,10.850346501668298,315,rossi_campo_a,2023
2023-11-19,41.196696887443096,8.45455131530764,322,rossi_campo_a,2023
2023-11-26,41.250064381131324,8.136341167631599,329,rossi_campo_a,2023
2023-12-03,19.075122881815787,4.331160572596957,336,rossi_campo_a,2023
2023-12-10,28.480558599824235,8.304138256254646,343,rossi_campo_a,2023
2023-12-17,0.3152161834982792,5.528369885399229,350,rossi_campo_a,2023
2023-12-24,3.462618725905031,7.393229057675342,357,rossi_campo_a,2023
