date,rain_mm,temp_c,days_from_start,campo,anno
2026-01-01,53.22185502672028,2.0168591272263257,0,pascolo_2,2026
2026-01-08,6.201933359534451,1.3539938972110122,7,pascolo_2,2026
2026-01-15,9.80535626723622,5.6437047140939285,14,pascolo_2,2026
2026-01-22,32.579577562859896,5.007698040916807,21,pascolo_2,2026
2026-01-29,23.849681366243654,4.878485252743701,28,pascolo_2,2026
2026-02-05,22.8899847113162,6.74233225867863,35,pascolo_2,2026
2026-02-12,21.05815708563341,6.940401149931404,42,pascolo_2,2026
2026-02-19,3.431195834139089,7.389297467186338,49,pascolo_2,2026
2026-02-26,5.312353372193712,8.646172369094131,56,pascolo_2,2026
2026-03-05,2.937629111215756,8.434073112124508,63,pascolo_2,2026
2026-03-12,13.863154340526762,8.422052637736044,70,pascolo_2,2026
2026-03-19,1.6995987239738497,6.720024544852151,77,pascolo_2,2026
2026-03-26,58.450029099525125,5.382973879859605,84,pascolo_2,2026
2026-04-02,0.95085073297696,11.755694870721754,91,pascolo_2,2026
2026-04-09,0.0450849533031316,13.102956814236109,98,pascolo_2,2026
2026-04-16,12.412373840163582,13.859661462571921,0,pascolo_2,2026
