date,rain_mm,temp_c,days_from_start,campo,anno
2024-01-01,40.52259623978216,7.91453632173085,0,bianchi_campo_a,2024
2024-01-08,1.2223866611016376,2.239588583083389,7,bianchi_campo_a,2024
2024-01-15,16.919597983207524,6.150147011166553,14,bianchi_campo_a,2024
2024-01-22,0.9709250143892234,5.087680707659047,21,bianchi_campo_a,2024
2024-01-29,0.03460508943220475,5.292203703380778,28,bianchi_campo_a,2024
2024-02-05,25.793817213163095,8.110662078857445,35,bianchi_campo_a,2024
2024-02-12,4.497822806740714,8.39003415788926,42,bianchi_campo_a,2024
2024-02-19,17.203434782761207,7.289616702851845,49,bianchi_campo_a,2024
2024-02-26,54.04488240617411,8.402238373529372,56,bianchi_campo_a,2024
2024-03-04,22.576946019643884,7.626475815545973,63,bianchi_campo_a,2024
2024-03-11,8.132527390745992,9.254298509870296,70,bianchi_campo_a,2024
2024-03-18,13.15097313181468,10.620215170724066,77,bianchi_campo_a,2024
2024-03-25,39.774681403457635,11.342883046468103,84,bianchi_campo_a,2024
2024-04-01,12.406201119631532,12.49533633277531,91,bianchi_campo_a,2024
2024-04-08,4.190662342086426,15.584997613089456,98,bianchi_campo_a,2024
2024-04-15,29.652746148485676,10.14350544157486,105,bianchi_campo_a,2024
2024-04-22,40.02404048010888,9.20019093468079,112,bianchi_campo_a,2024
2024-04-29,28.540572826045718,13.193804132370758,119,bianchi_campo_a,2024
2024-05-06,10.473388433354103,14.37277801150367,126,bianchi_campo_a,2024
2024-05-13,23.77173802692667,16.384988312494215,133,bianchi_campo_a,2024
2024-05-20,33.19064046094766,15.670984340849373,140,bianchi_campo_a,2024
2024-05-27,16.358475052165034,16.711173720586885,147,bianchi_campo_a,2024
2024-06-03,4.0095835921079015,19.062625049409462,154,bianchi_campo_a,2024
2024-06-10,13.954802392504462,18.418691707792732,161,bianchi_campo_a,2024
2024-06-17,12.323571248145981,23.267225428990002,168,bianchi_campo_a,2024
2024-06-24,31.243805749852527,21.142068935575935,175,bianchi_campo_a,2024
2024-07-01,15.784861767087932,21.19631692795531,182,bianchi_campo_a,2024
2024-07-08,1.712650060536447,25.387668863932333,189,bianchi_campo_a,2024
2024-07-15,5.868790812190383,26.36465379624144,196,bianchi_campo_a,2024
2024-07-22,2.255660295269024,25.425849714733317,203,bianchi_campo_a,2024
2024-07-29,12.3539526449008,25.871623520624098,210,bianchi_campo_a,2024
2024-08-05,2.8919219970653387,26.136143348330563,217,bianchi_campo_a,2024
2024-08-12,9.459656476963119,26.156196394420817,224,bianchi_campo_a,2024
2024-08-19,7.803870586315043,23.344121188209215,231,bianchi_campo_a,2024
2024-08-26,5.7999521491360895,24.152632922218004,238,bianchi_campo_a,2024
2024-09-02,19.461219654335338,22.600538780575732,245,bianchi_campo_a,2024
2024-09-09,41.91642138698626,16.897186624436188,252,bianchi_campo_a,2024
2024-09-16,85.4185584609759,14.722908092680427,259,bianchi_campo_a,2024
2024-09-23,16.113061134603868,16.881352088564938,266,bianchi_campo_a,2024
2024-09-30,92.04986919390379,13.720401836576912,273,bianchi_campo_a,2024
2024-10-07,39.07572227069522,14.893248948596806,280,bianchi_campo_a,2024
2024-10-14,47.488825427493,16.05687566484727,287,bianchi_campo_a,2024
2024-10-21,35.062187844683734,15.852600533621683,294,bianchi_campo_a,2024
2024-10-28,0.047966876820737525,13.152350089663571,301,bianchi_campo_a,2024
2024-11-04,1.4678285767217858,10.267817524501254,308,bianchi_campo_a,2024
2024-11-11,3.757536410979867,6.238095946539033,315,bianchi_campo_a,2024
2024-11-18,20.601881077897843,7.160456684657504,322,bianchi_campo_a,2024
2024-11-25,6.5932289711163605,7.954082743326865,329,bianchi_campo_a,2024
2024-12-02,43.844704586263106,3.9953206198556472,336,bianchi_campo_a,2024
2024-12-09,19.139111466188297,4.492825626191689,343,bianchi_campo_a,2024
2024-12-16,37.779590955477005,4.626892979939782,350,bianchi_campo_a,2024
2024-12-23,6.410364041091299,3.6198846544538696,357,bianchi_campo_a,2024
2024-12-30,0.0008583068797918258,6.631877517700218,364,bianchi_campo_a,2024
