campo,generated_at,reference_date,date_forecast,horizon_days,days_in_future,mean_ndvi_forecast,ndvi_lower_90,ndvi_upper_90,conformal_margin,confidence,model_type,source
pascolo_1,2026-08-16T08:28:13.627568+02:00,2026-08-09,2026-08-10,1,-6,0.384,0.2764,0.4916,0.1076,high,persistence,forecast-v1.1-hybrid
pascolo_1,2026-08-16T08:28:13.641005+02:00,2026-08-09,2026-08-12,3,-4,0.3855,0.2753,0.4957,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_1,2026-08-16T08:28:13.655073+02:00,2026-08-09,2026-08-16,7,0,0.4017,0.2633,0.5401,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_1,2026-08-16T08:28:13.668977+02:00,2026-08-09,2026-08-23,14,7,0.3574,0.213,0.5018,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
