campo,generated_at,reference_date,date_forecast,horizon_days,days_in_future,mean_ndvi_forecast,ndvi_lower_90,ndvi_upper_90,conformal_margin,confidence,model_type,source
pascolo_6,2026-08-13T09:18:51.536660+02:00,2026-08-09,2026-08-10,1,-3,0.5774,0.4698,0.685,0.1076,high,persistence,forecast-v1.1-hybrid
pascolo_6,2026-08-13T09:18:51.546931+02:00,2026-08-09,2026-08-12,3,-1,0.5843,0.4741,0.6945,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_6,2026-08-13T09:18:51.559556+02:00,2026-08-09,2026-08-16,7,3,0.4942,0.3558,0.6326,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_6,2026-08-13T09:18:51.571454+02:00,2026-08-09,2026-08-23,14,10,0.4708,0.3264,0.6152,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
