campo,generated_at,reference_date,date_forecast,horizon_days,days_in_future,mean_ndvi_forecast,ndvi_lower_90,ndvi_upper_90,conformal_margin,confidence,model_type,source
bianchi_campo,2026-09-01T12:48:31.436196+02:00,2026-08-24,2026-08-25,1,-7,0.4898,0.3822,0.5974,0.1076,high,persistence,forecast-v1.1-hybrid
bianchi_campo,2026-09-01T12:48:31.443187+02:00,2026-08-24,2026-08-27,3,-5,0.4971,0.3869,0.6073,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
bianchi_campo,2026-09-01T12:48:31.452361+02:00,2026-08-24,2026-08-31,7,-1,0.5175,0.3791,0.6559,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
bianchi_campo,2026-09-01T12:48:31.460690+02:00,2026-08-24,2026-09-07,14,6,0.5096,0.3653,0.654,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
