date,mean_ndvi,mean_ndwi,delta_abs_ndvi,delta_abs_ndwi,campo,anno
2024-01-13,0.820478535373145,0.3855964037888127,,,pascolo_2,2024
2024-01-18,0.91416257978553,0.3318491857622716,0.0936840444123849,0.0537472180265411,pascolo_2,2024
2024-01-20,0.1090445091740223,0.064387403702644,0.8051180706115076,0.2674617820596275,pascolo_2,2024
2024-01-23,0.7917965220303204,0.3130665111002996,0.682752012856298,0.2486791073976555,pascolo_2,2024
2024-01-25,0.800868989478231,0.2378875093671022,0.0090724674479106,0.0751790017331973,pascolo_2,2024
2024-01-28,0.7918271688972336,0.2609734057528414,0.0090418205809974,0.0230858963857392,pascolo_2,2024
2024-01-30,0.768588152695908,0.2594523791823737,0.0232390162013256,0.0015210265704677,pascolo_2,2024
2024-02-02,0.7662100532550832,0.2661000128067466,0.0023780994408247,0.0066476336243729,pascolo_2,2024
2024-02-14,0.7754611842874611,0.2651442122539083,0.0092511310323779,0.0009558005528383,pascolo_2,2024
2024-02-17,0.7341796425777276,0.247066157925115,0.0412815417097335,0.0180780543287932,pascolo_2,2024
2024-02-19,0.0422789791723681,0.1940647333827469,0.6919006634053595,0.0530014245423681,pascolo_2,2024
2024-03-05,0.786117033523795,0.3197591521969257,0.7438380543514269,0.1256944188141788,pascolo_2,2024
2024-03-08,0.014889109791853,0.1863759679418433,0.7712279237319419,0.1333831842550824,pascolo_2,2024
2024-03-20,0.8402960811656559,0.3928923304317323,0.8254069713738028,0.2065163624898889,pascolo_2,2024
2024-03-25,0.8622526505126074,0.4316178352849839,0.0219565693469514,0.0387255048532516,pascolo_2,2024
2024-03-30,0.6292197032512133,0.3113806593302201,0.233032947261394,0.1202371759547638,pascolo_2,2024
2024-04-02,0.3168817631214856,0.393880333187385,0.3123379401297277,0.0824996738571649,pascolo_2,2024
2024-04-04,0.7938636406819286,0.4033941013382858,0.4769818775604429,0.0095137681509007,pascolo_2,2024
2024-04-09,0.7945595172032557,0.3924868603954903,0.000695876521327,0.0109072409427954,pascolo_2,2024
2024-04-12,0.8501234927814904,0.4800670862202339,0.0555639755782346,0.0875802258247436,pascolo_2,2024
2024-04-14,0.8505671510777534,0.4426524547829261,0.000443658296263,0.0374146314373077,pascolo_2,2024
2024-04-29,0.157563491049868,0.2473755357672847,0.6930036600278854,0.1952769190156414,pascolo_2,2024
2024-05-12,0.6835612883909269,0.2485727251024052,0.5259977973410589,0.0011971893351204,pascolo_2,2024
2024-05-14,0.036187659141682,0.182952509118194,0.6473736292492448,0.0656202159842111,pascolo_2,2024
2024-05-22,0.7591944914742348,0.3766341661503665,0.7230068323325527,0.1936816570321724,pascolo_2,2024
2024-05-24,0.041334346513937,0.2260163390473982,0.7178601449602978,0.1506178271029683,pascolo_2,2024
