date,mean_ndvi,mean_ndwi,delta_abs_ndvi,delta_abs_ndwi,campo,anno
2023-01-10,0.7006599064119121,0.2074583006336441,,,bianchi_campo_b,2023
2023-01-30,0.6766078984820822,0.1889117807267072,0.0240520079298298,0.0185465199069368,bianchi_campo_b,2023
2023-02-02,0.2563648885208806,0.0649912237952711,0.4202430099612017,0.1239205569314361,bianchi_campo_b,2023
2023-02-04,0.6671529017458934,0.1458745330634047,0.4107880132250128,0.0808833092681336,bianchi_campo_b,2023
2023-02-07,0.6308049054311914,0.1675439339594959,0.0363479963147019,0.0216694008960912,bianchi_campo_b,2023
2023-02-12,0.1553509207153912,0.1353906584392707,0.4754539847158002,0.0321532755202251,bianchi_campo_b,2023
2023-02-14,0.653064740595181,0.153569540576088,0.4977138198797898,0.0181788821368172,bianchi_campo_b,2023
2023-02-17,0.5399708072967326,0.2055022414632499,0.1130939332984484,0.0519327008871619,bianchi_campo_b,2023
2023-02-19,-0.0234051555195233,0.2951614989442121,0.563375962816256,0.0896592574809621,bianchi_campo_b,2023
2023-03-06,0.5964235436901829,0.1289864482497856,0.6198286992097063,0.1661750506944264,bianchi_campo_b,2023
2023-03-09,-0.0001256934488538,0.1172255287901801,0.5965492371390367,0.0117609194596054,bianchi_campo_b,2023
2023-03-11,0.0505411045859386,0.0799648651072056,0.0506667980347925,0.0372606636829745,bianchi_campo_b,2023
2023-03-16,0.6432990310769373,0.1760902105963162,0.5927579264909987,0.0961253454891106,bianchi_campo_b,2023
2023-03-21,0.5041310122457293,0.2056886016279346,0.139168018831208,0.0295983910316183,bianchi_campo_b,2023
2023-04-03,0.6523497004029177,0.192316012394245,0.1482186881571884,0.0133725892336895,bianchi_campo_b,2023
2023-04-10,0.1995973326680994,0.118657962080408,0.4527523677348183,0.073658050313837,bianchi_campo_b,2023
2023-04-20,0.0352029925782912,0.0968322454783171,0.1643943400898082,0.0218257166020908,bianchi_campo_b,2023
2023-04-23,0.6162115798240451,0.2239680751189968,0.5810085872457539,0.1271358296406797,bianchi_campo_b,2023
2023-04-28,0.6729011529125892,0.2292105325367348,0.0566895730885441,0.0052424574177379,bianchi_campo_b,2023
2023-05-05,0.6774376868898951,0.2462972184968029,0.0045365339773059,0.0170866859600681,bianchi_campo_b,2023
2023-05-23,0.6831696902617378,0.2426955107979457,0.0057320033718426,0.0036017076988572,bianchi_campo_b,2023
2023-05-25,0.6609940400957648,0.227050442386905,0.022175650165973,0.0156450684110406,bianchi_campo_b,2023
2023-05-28,0.6176629174243173,0.1875798651490615,0.0433311226714474,0.0394705772378434,bianchi_campo_b,2023
2023-05-30,0.6130615247773639,0.1663886175189999,0.0046013926469534,0.0211912476300616,bianchi_campo_b,2023
2023-06-02,0.6359089406080313,0.1943786008140576,0.0228474158306674,0.0279899832950576,bianchi_campo_b,2023
2023-06-07,0.6519330106211905,0.1952179266433538,0.0160240700131591,0.0008393258292961,bianchi_campo_b,2023
2023-06-12,-0.0138107300029328,0.2366365236993553,0.6657437406241233,0.0414185970560015,bianchi_campo_b,2023
2023-06-17,0.6791673449170983,0.2180504950105346,0.6929780749200312,0.0185860286888206,bianchi_campo_b,2023
2023-06-19,0.5301463609434044,0.1591742860911151,0.1490209839736939,0.0588762089194195,bianchi_campo_b,2023
2023-06-22,0.6489282332565498,0.2143250371824924,0.1187818723131454,0.0551507510913772,bianchi_campo_b,2023
2023-06-24,0.0801312958950156,0.0624400714852851,0.5687969373615341,0.1518849656972072,bianchi_campo_b,2023
2023-06-27,0.6748840501841185,0.2133029985941804,0.5947527542891028,0.1508629271088952,bianchi_campo_b,2023
2023-06-29,0.6680922414982743,0.1846891092082987,0.0067918086858441,0.0286138893858817,bianchi_campo_b,2023
2023-07-02,0.6958781963655105,0.2143316529980428,0.0277859548672362,0.0296425437897441,bianchi_campo_b,2023
2023-07-04,0.6726920411479512,0.206395518424644,0.0231861552175592,0.0079361345733988,bianchi_campo_b,2023
2023-07-07,0.6827907630804648,0.2024284539736618,0.0100987219325135,0.0039670644509821,bianchi_campo_b,2023
2023-07-09,0.6553993203233255,0.157205029943104,0.0273914427571393,0.0452234240305578,bianchi_campo_b,2023
2023-07-12,-0.0059053870386702,0.3292115908080685,0.6613047073619958,0.1720065608649645,bianchi_campo_b,2023
2023-07-14,0.6378684911911896,0.167187205320579,0.6437738782298599,0.1620243854874895,bianchi_campo_b,2023
2023-07-17,0.6226816242568326,0.1647025759336889,0.015186866934357,0.0024846293868901,bianchi_campo_b,2023
2023-07-19,0.6194233581712845,0.1520596914806208,0.0032582660855481,0.012642884453068,bianchi_campo_b,2023
2023-07-22,0.6561333997840388,0.1726459596446758,0.0367100416127543,0.020586268164055,bianchi_campo_b,2023
2023-07-27,0.667910665408536,0.1887555745086501,0.0117772656244972,0.0161096148639742,bianchi_campo_b,2023
2023-07-29,-0.0015148863629025,0.0782877898261492,0.6694255517714386,0.1104677846825008,bianchi_campo_b,2023
2023-08-03,0.0519101041654648,-0.0427881448196149,0.0534249905283674,0.1210759346457642,bianchi_campo_b,2023
2023-08-06,0.6213528326026325,0.1824596044269177,0.5694427284371677,0.2252477492465326,bianchi_campo_b,2023
2023-08-08,0.6338878852842376,0.1507003948630658,0.012535052681605,0.0317592095638518,bianchi_campo_b,2023
2023-08-13,0.6106224017140591,0.1291411229544199,0.0232654835701784,0.0215592719086458,bianchi_campo_b,2023
2023-08-16,0.6080272306617365,0.1361651665649532,0.0025951710523226,0.0070240436105332,bianchi_campo_b,2023
2023-08-18,0.5962515133663755,0.1090364776157215,0.0117757172953609,0.0271286889492316,bianchi_campo_b,2023
2023-08-21,0.6130673898610208,0.1210419243019372,0.0168158764946453,0.0120054466862157,bianchi_campo_b,2023
2023-08-23,0.6072377675571179,0.1165471938207126,0.0058296223039029,0.0044947304812246,bianchi_campo_b,2023
2023-08-26,0.6118132949670617,0.1337896312565045,0.0045755274099438,0.0172424374357919,bianchi_campo_b,2023
2023-09-02,0.610023829840877,0.1382024291655528,0.0017894651261847,0.0044127979090483,bianchi_campo_b,2023
2023-09-05,0.0515107151675771,0.1174062545857829,0.5585131146732999,0.0207961745797698,bianchi_campo_b,2023
2023-09-07,0.6290502225294387,0.1276734320559747,0.5775395073618615,0.0102671774701917,bianchi_campo_b,2023
2023-09-10,0.6326032462020464,0.1370190847161871,0.0035530236726077,0.0093456526602123,bianchi_campo_b,2023
2023-09-12,0.615709052808741,0.1379067645387121,0.0168941933933054,0.0008876798225249,bianchi_campo_b,2023
2023-09-15,0.654940788297121,0.1767781104681366,0.0392317354883799,0.0388713459294245,bianchi_campo_b,2023
2023-09-27,0.658986377382621,0.1417466797609281,0.0040455890855,0.0350314307072084,bianchi_campo_b,2023
2023-09-30,0.6601417937912232,0.1439752185745557,0.0011554164086021,0.0022285388136276,bianchi_campo_b,2023
2023-10-02,0.6516550983020387,0.1378128990624483,0.0084866954891844,0.0061623195121074,bianchi_campo_b,2023
2023-10-07,0.643543289655055,0.1323109686765781,0.0081118086469836,0.0055019303858701,bianchi_campo_b,2023
2023-10-10,0.6428404420319896,0.1318145829474442,0.0007028476230653,0.0004963857291339,bianchi_campo_b,2023
2023-10-12,0.6428205009319373,0.1359193231077857,1.994110005232308e-05,0.0041047401603414,bianchi_campo_b,2023
