date,mean_ndvi,mean_ndwi,delta_abs_ndvi,delta_abs_ndwi,campo,anno
2025-01-04,0.7170175588503204,0.2028714049723431,,,bianchi_campo_a,2025
2025-01-17,0.5971997377467927,0.0838141247333235,0.1198178211035276,0.1190572802390195,bianchi_campo_a,2025
2025-02-03,0.5039733919656662,0.0721753514361426,0.0932263457811265,0.0116387732971809,bianchi_campo_a,2025
2025-02-06,0.3343462102622581,0.1655074769921795,0.169627181703408,0.0933321255560368,bianchi_campo_a,2025
2025-02-16,0.6490846544694366,0.1235852924841729,0.3147384442071785,0.0419221845080065,bianchi_campo_a,2025
2025-02-21,0.6429270017926614,0.0766183464994591,0.0061576526767752,0.0469669459847138,bianchi_campo_a,2025
2025-03-03,0.6522370866522592,0.0915666760143103,0.0093100848595978,0.0149483295148511,bianchi_campo_a,2025
2025-03-05,0.634571404777401,0.0858930168170524,0.0176656818748581,0.0056736591972579,bianchi_campo_a,2025
2025-03-08,0.5365584029059568,0.1184555892552677,0.0980130018714442,0.0325625724382153,bianchi_campo_a,2025
2025-03-10,0.0031175951535242,0.2622437154743519,0.5334408077524325,0.1437881262190841,bianchi_campo_a,2025
2025-03-18,0.6703087454473238,0.2243663697132542,0.6671911502937995,0.0378773457610976,bianchi_campo_a,2025
2025-03-20,0.6525386993185619,0.1069709337589017,0.0177700461287618,0.1173954359543525,bianchi_campo_a,2025
2025-03-25,0.6577248478301155,0.1271957739276111,0.0015813801761933,0.0003528112776849,bianchi_campo_a,2025
2025-03-30,0.6490608424159187,0.1431261894112754,0.0086640054141968,0.0159304154836643,bianchi_campo_a,2025
2025-04-04,0.6665986445237911,0.1088057624106502,0.0071939509985313,0.0002744075746357,bianchi_campo_a,2025
2025-04-07,0.6337164961542758,0.152441645485189,0.0328821483695153,0.0436358830745387,bianchi_campo_a,2025
2025-04-09,0.6630045480383794,0.1340502696306908,0.0292880518841035,0.0183913758544981,bianchi_campo_a,2025
2025-04-11,0.6682325664461202,0.1400663808200195,0.0052280184077407,0.0060161111893286,bianchi_campo_a,2025
2025-04-22,0.7153712206403993,0.1963431107542637,0.047138654194279,0.0562767299342442,bianchi_campo_a,2025
2025-04-24,0.7454868559709003,0.2649015899032154,0.0053142171443749,0.002659362439185,bianchi_campo_a,2025
2025-04-29,0.5967151748688619,0.205451005922919,0.1487716811020383,0.0594505839802964,bianchi_campo_a,2025
2025-05-01,0.7471302459674579,0.2463366633723152,0.1504150710985959,0.0408856574493962,bianchi_campo_a,2025
2025-05-02,0.754438893019245,0.2572088571479566,0.0073086470517871,0.0108721937756414,bianchi_campo_a,2025
2025-05-04,0.3212292164723697,0.0972077687232005,0.4332096765468753,0.1600010884247561,bianchi_campo_a,2025
2025-05-11,0.6297937393151583,0.297413308552345,0.3085645228427885,0.2002055398291445,bianchi_campo_a,2025
2025-05-12,0.776312356914488,0.290328911231238,0.1465186175993297,0.0070843973211069,bianchi_campo_a,2025
2025-05-14,0.7520326948719984,0.2688214702622726,0.0127034345412968,0.0158063989781845,bianchi_campo_a,2025
2025-05-17,0.7227177442051977,0.3039777421067401,0.0293149506668006,0.0351562718444674,bianchi_campo_a,2025
2025-05-19,0.3488404069484827,0.2204738146052035,0.373877337256715,0.0835039275015366,bianchi_campo_a,2025
2025-05-24,0.7721370800620223,0.2984611706137889,0.0069632027867142,0.0135317202246382,bianchi_campo_a,2025
2025-05-31,0.7514387630987546,0.2415219675502455,0.0206983169632677,0.0569392030635434,bianchi_campo_a,2025
2025-06-01,0.7600723617542896,0.2610144057688385,0.008633598655535,0.019492438218593,bianchi_campo_a,2025
2025-06-03,0.750236099511388,0.259392553140378,0.0136155506410313,0.0153360630856437,bianchi_campo_a,2025
2025-06-08,0.7284751218589662,0.2373541163008355,0.0217609776524217,0.0220384368395424,bianchi_campo_a,2025
