date,mean_ndvi,mean_ndwi,delta_abs_ndvi,delta_abs_ndwi,campo,anno
2025-01-04,0.6626764516176359,-0.005612859490929,,,rossi_campo_a,2025
2025-01-17,0.5736555914559207,-0.0187181960504972,0.0890208601617151,0.0131053365595682,rossi_campo_a,2025
2025-02-03,0.5162260475638131,0.0110539412516762,0.0574295438921076,0.0297721373021734,rossi_campo_a,2025
2025-02-06,0.5837770630235231,-0.0236286076819977,0.0675510154597099,0.0346825489336739,rossi_campo_a,2025
2025-02-16,0.4358551547392675,3.689161448098495e-05,0.1479219082842555,0.0236654992964787,rossi_campo_a,2025
2025-02-21,0.5273083377712743,0.0088825536329816,0.0914531830320067,0.0088456620185007,rossi_campo_a,2025
2025-03-03,0.5669108844934747,-0.0354013072701358,0.0396025467222004,0.0442838609031174,rossi_campo_a,2025
2025-03-05,0.5254738910403761,-0.0370576310608466,0.0414369934530985,0.0016563237907108,rossi_campo_a,2025
2025-03-08,0.307208273593784,0.0384078395383775,0.2182656174465921,0.0754654705992241,rossi_campo_a,2025
2025-03-10,0.0485745784360615,0.1253186440570548,0.2586336951577224,0.0869108045186773,rossi_campo_a,2025
2025-03-18,0.5508521377133216,-0.0033068336024709,0.5022775592772601,0.1286254776595257,rossi_campo_a,2025
2025-03-20,0.5313446836399535,-0.0282640014396955,0.0195074540733681,0.0249571678372246,rossi_campo_a,2025
2025-03-25,0.4985235411732665,0.0119995685076798,0.0082576408848507,0.0263552933431876,rossi_campo_a,2025
2025-03-30,0.5533256620367497,-0.0249334062276846,0.0548021208634831,0.0369329747353644,rossi_campo_a,2025
2025-04-04,0.5687916041070593,-0.0003212659907881,0.0108434720250284,0.0074869482045338,rossi_campo_a,2025
2025-04-07,0.5778475769313993,0.0377640412963523,0.00905597282434,0.0380853072871405,rossi_campo_a,2025
2025-04-09,0.4028660685941032,0.1017388944218464,0.1749815083372961,0.063974853125494,rossi_campo_a,2025
2025-04-11,0.6134707397212874,0.0707358057511273,0.2106046711271842,0.0310030886707191,rossi_campo_a,2025
2025-04-22,0.7475072633079454,0.2515816801904962,0.1340365235866579,0.1808458744393689,rossi_campo_a,2025
2025-04-24,0.745391548271874,0.3928262883587402,0.6880057142759094,0.3082358860022964,rossi_campo_a,2025
2025-04-29,0.8347114427423935,0.3220003555400513,0.0893198944705194,0.0708259328186889,rossi_campo_a,2025
2025-05-01,0.8498496732023575,0.3352047537745571,0.0151382304599639,0.0132043982345058,rossi_campo_a,2025
2025-05-02,0.8555969175333163,0.3518143898826245,0.0057472443309588,0.0166096361080673,rossi_campo_a,2025
2025-05-04,0.6113649394843832,0.342544574698595,0.2442319780489331,0.0092698151840295,rossi_campo_a,2025
2025-05-11,0.8085331067403556,0.3643693654155455,0.1971681672559724,0.0218247907169505,rossi_campo_a,2025
2025-05-12,0.8779341134404336,0.3706263603382799,0.0694010067000779,0.0062569949227344,rossi_campo_a,2025
2025-05-14,0.8618223708576614,0.3513319914896107,0.0073831559021808,0.0219516035843889,rossi_campo_a,2025
2025-05-17,0.8584496505935203,0.3874100541191517,0.0033727202641411,0.036078062629541,rossi_campo_a,2025
2025-05-19,0.0462838949284512,0.1273823851518723,0.812165755665069,0.2600276689672793,rossi_campo_a,2025
2025-05-24,0.8782317647176414,0.3803068506680082,0.0055323595113747,0.0240429929181494,rossi_campo_a,2025
2025-05-31,0.8643950465875578,0.3251048152785438,0.0138367181300835,0.0552020353894643,rossi_campo_a,2025
2025-06-01,0.8622136245391128,0.3445633639398405,0.002181422048445,0.0194585486612967,rossi_campo_a,2025
2025-06-03,0.8547008345943188,0.3569316510648569,0.0073132721961965,0.0249934864632899,rossi_campo_a,2025
